2026-01-20 17:35:53,655 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:35:53,655 | INFO | __main__ | Device ID      : AA:BB:CC:XX:YY:13
2026-01-20 17:35:53,655 | INFO | __main__ | Train Start    : 2026-01-06T00:00:00.000Z
2026-01-20 17:35:53,655 | INFO | __main__ | Train End      : 2026-01-08T00:00:00.000Z
2026-01-20 17:35:53,658 | INFO | __main__ | Model Dir      : \opt\flink\models
2026-01-20 17:35:53,659 | INFO | __main__ | ====================================================
2026-01-20 17:35:53,659 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:36:04,476 | ERROR | __main__ | ❌ Model training failed
2026-01-20 17:36:04,476 | ERROR | __main__ | Trend API v2 call failed
2026-01-20 17:40:13,506 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:40:13,506 | INFO | __main__ | Device ID      : AA:BB:CC:XX:YY:13
2026-01-20 17:40:13,511 | INFO | __main__ | Train Start    : 2026-01-06T00:00:00.000Z
2026-01-20 17:40:13,512 | INFO | __main__ | Train End      : 2026-01-08T00:00:00.000Z
2026-01-20 17:40:13,512 | INFO | __main__ | Model Dir      : \opt\flink\models
2026-01-20 17:40:13,512 | INFO | __main__ | ====================================================
2026-01-20 17:40:13,512 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:40:24,327 | ERROR | __main__ | ❌ Model training failed
2026-01-20 17:40:24,327 | ERROR | __main__ | Trend API v2 call failed
2026-01-20 17:41:15,187 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:41:15,187 | INFO | __main__ | Device ID      : AA:BB:CC:XX:YY:13
2026-01-20 17:41:15,187 | INFO | __main__ | Train Start    : 2026-01-06T00:00:00.000Z
2026-01-20 17:41:15,187 | INFO | __main__ | Train End      : 2026-01-08T00:00:00.000Z
2026-01-20 17:41:15,187 | INFO | __main__ | Model Dir      : \opt\flink\models
2026-01-20 17:41:15,187 | INFO | __main__ | ====================================================
2026-01-20 17:41:15,187 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:41:26,925 | ERROR | __main__ | ❌ Model training failed
2026-01-20 17:41:26,925 | ERROR | __main__ | Trend API v2 call failed
2026-01-20 17:44:34,757 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:44:34,757 | INFO | __main__ | Device ID      : AA:BB:CC:XX:YY:13
2026-01-20 17:44:34,758 | INFO | __main__ | Train Start    : 2026-01-06T00:00:00.000Z
2026-01-20 17:44:34,758 | INFO | __main__ | Train End      : 2026-01-08T00:00:00.000Z
2026-01-20 17:44:34,758 | INFO | __main__ | Model Dir      : \opt\flink\models
2026-01-20 17:44:34,759 | INFO | __main__ | ====================================================
2026-01-20 17:44:34,759 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:44:59,368 | ERROR | __main__ | ❌ Model training failed
2026-01-20 17:44:59,368 | ERROR | __main__ | No valid rows after feature validation | MONITORID=23
2026-01-20 17:47:33,959 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:47:33,959 | INFO | __main__ | Device ID      : AA:BB:CC:XX:YY:13
2026-01-20 17:47:33,959 | INFO | __main__ | Train Start    : 2026-01-06T00:00:00.000Z
2026-01-20 17:47:33,959 | INFO | __main__ | Train End      : 2026-01-08T00:00:00.000Z
2026-01-20 17:47:33,962 | INFO | __main__ | Model Dir      : \opt\flink\models
2026-01-20 17:47:33,962 | INFO | __main__ | ====================================================
2026-01-20 17:47:33,962 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:48:01,364 | INFO | __main__ | Checking if model exists locally...
2026-01-20 17:48:01,424 | INFO | __main__ | ✅ Model successfully created
2026-01-20 17:48:01,424 | INFO | __main__ | Model path: {'model_path': '23/model.pkl', 'scaler_path': '23/scaler.pkl', 'metadata_path': '23/metadata.json'}
2026-01-20 17:51:13,954 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:51:13,954 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 17:51:13,954 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 17:51:13,954 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 17:51:13,954 | INFO | __main__ | ===================================================
2026-01-20 17:51:13,954 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:51:46,021 | INFO | __main__ | Checking if model exists locally...
2026-01-20 17:51:46,078 | INFO | __main__ | Model artifacts:
2026-01-20 17:51:46,083 | INFO | __main__ | Model    : 23\model.pkl
2026-01-20 17:51:46,084 | INFO | __main__ | Scaler   : 23\scaler.pkl
2026-01-20 17:51:46,086 | INFO | __main__ | Metadata : 23\metadata.json
2026-01-20 17:51:46,087 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 17:51:46,090 | ERROR | __main__ |  - 23\model.pkl
2026-01-20 17:51:46,092 | ERROR | __main__ |  - 23\scaler.pkl
2026-01-20 17:51:46,095 | ERROR | __main__ |  - 23\metadata.json
2026-01-20 17:53:46,926 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:53:46,927 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 17:53:46,927 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 17:53:46,927 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 17:53:46,928 | INFO | __main__ | ===================================================
2026-01-20 17:53:46,928 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:54:14,431 | INFO | __main__ | Checking if model exists locally...
2026-01-20 17:54:14,494 | INFO | __main__ | Model artifacts:
2026-01-20 17:54:14,494 | INFO | __main__ | Model    : 23\model.pkl
2026-01-20 17:54:14,494 | INFO | __main__ | Scaler   : 23\scaler.pkl
2026-01-20 17:54:14,494 | INFO | __main__ | Metadata : 23\metadata.json
2026-01-20 17:54:14,494 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 17:54:14,498 | ERROR | __main__ |  - 23\model.pkl
2026-01-20 17:54:14,498 | ERROR | __main__ |  - 23\scaler.pkl
2026-01-20 17:54:14,498 | ERROR | __main__ |  - 23\metadata.json
2026-01-20 17:55:32,463 | INFO | __main__ | ========== MODEL BUILDER LOCAL VALIDATION ==========
2026-01-20 17:55:32,463 | INFO | __main__ | Device ID   : AA:BB:CC:XX:YY:13
2026-01-20 17:55:32,463 | INFO | __main__ | Train Start : 2026-01-06T00:00:00.000Z
2026-01-20 17:55:32,463 | INFO | __main__ | Train End   : 2026-01-08T00:00:00.000Z
2026-01-20 17:55:32,463 | INFO | __main__ | Model Base  : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models
2026-01-20 17:55:32,463 | INFO | __main__ | ===================================================
2026-01-20 17:55:32,463 | INFO | __main__ | Starting model training via model_builder...
2026-01-20 17:55:59,698 | INFO | __main__ | Checking if model exists locally...
2026-01-20 17:55:59,752 | INFO | __main__ | Model artifacts:
2026-01-20 17:55:59,752 | INFO | __main__ | Model    : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
2026-01-20 17:55:59,756 | INFO | __main__ | Scaler   : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\scaler.pkl
2026-01-20 17:55:59,756 | INFO | __main__ | Metadata : C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\metadata.json
2026-01-20 17:55:59,759 | ERROR | __main__ | ❌ Missing model artifacts:
2026-01-20 17:55:59,760 | ERROR | __main__ |  - C:\Users\IU_Admin\Desktop\oil_analysis_anomaly_alert\models\23\model.pkl
