2026-01-21 18:04:41,996 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=29 | count=5 | indices=[0, 2, 4, 8, 9]
2026-01-21 18:54:54,490 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=36 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 19:32:19,350 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=36 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 19:44:47,750 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=32 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 20:05:56,766 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=36 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 20:07:04,143 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=38 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 20:31:24,385 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=38 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 20:38:07,590 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=38 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-21 20:41:41,577 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=40 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-28 18:07:12,868 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=30 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2026-01-30 10:42:10,771 | WARNING | app.predictor.anomaly_detector | Anomalies detected | MONITORID=36 | count=10 | indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
